estacion,hora,q_cafes_llevar_mas_1
Bonpland,0,304.0000
Florencio Varela,12,312.0000
Alvear,5,504.0000
Gral Paz Provincia,5,1016.0000
Garay,8,728.0000
Florencio Varela,8,1344.0000
Ovidio Lagos,4,69.0000
Villa Luro,1,297.0000
Ovidio Lagos,7,378.0000
Ovidio Lagos,18,580.0000
Laferrere,12,205.0000
Pilar,18,552.0000
Florencio Varela,10,984.0000
Santa Rita,9,508.0000
El Club,21,371.0000
Arroyo Seco,16,4582.0000
Trelles,12,159.0000
El Club,2,332.0000
Centenera,9,435.0000
Floresta,3,98.0000
Gral Paz Capital,11,1758.0000
Pilar,8,1177.0000
El Club,9,1796.0000
Arroyo Seco,0,694.0000
Gral Paz Provincia,8,2513.0000
Trelles,16,226.0000
Garay,5,143.0000
Zarate Brazo Largo,4,115.0000
Fisherton,4,76.0000
El Club,11,1689.0000
Las Heras,10,254.0000
Garay,11,571.0000
Zarate,19,84.0000
Buen Ayre,23,296.0000
Congreso,17,409.0000
CORS EVENTOS,10,5.0000
El Club,10,2068.0000
San Isidro,1,174.0000
San Isidro,0,242.0000
Centenera,8,307.0000
Los Incas,15,null
Las Heras,16,152.0000
Florencio Varela,1,154.0000
Del Tejar,9,754.0000
Buen Ayre,8,2421.0000
Ovidio Lagos,11,664.0000
Lima,21,798.0000
Bulnes,17,265.0000
Bulnes,15,181.0000
Parque Sarmiento,11,443.0000
Zarate,12,92.0000
Villa Allende,19,936.0000
Del Tejar,10,513.0000
Gutierrez,20,175.0000
Gutierrez,7,603.0000
AUBASA LP-BA,8,2346.0000
Dialogos,7,688.0000
Zarate Brazo Largo,15,122.0000
Villa Luro,18,1054.0000
Lima,18,4110.0000
Alsina,13,153.0000
Gutierrez,4,146.0000
Alvear,6,1432.0000
Floresta,23,69.0000
Gutierrez,13,216.0000
Los Incas,21,10.0000
El Arco,7,717.0000
Dialogos,5,23.0000
Quilmes,5,139.0000
Garay,14,308.0000
Boulevard,18,893.0000
Villa Allende,10,1664.0000
Amanecer,9,469.0000
Villa Allende,18,905.0000
Villa Luro,17,1129.0000
AUBASA LP-BA,11,1995.0000
Bonpland,2,230.0000
