estacion,hora,q_cafes_llevar_solo,q_cafes_local_solo,q_cafes_llevar_solo_leche,q_cafes_llevar_solo_otros,q_cafes_local_solo_leche,q_cafes_local_solo_otros,q_cafes_llevar_solo_otros_negro,q_cafes_local_solo_otros_negro
Centenera,8,144.0000,87.0000,82.0000,62.0000,19.0000,68.0000,46.0000,79.0000
San Isidro,1,47.0000,32.0000,16.0000,31.0000,6.0000,26.0000,10.0000,28.0000
Los Incas,15,50.0000,1.0000,35.0000,15.0000,null,1.0000,6.0000,1.0000
El Club,10,190.0000,609.0000,78.0000,112.0000,81.0000,528.0000,36.0000,443.0000
DISC Caraffa,1,null,1.0000,null,null,null,1.0000,null,1.0000
Ovidio Lagos,11,61.0000,339.0000,5.0000,56.0000,6.0000,333.0000,null,339.0000
Alberdi,11,null,55.0000,null,null,null,55.0000,null,50.0000
Anchorena,13,null,14.0000,null,null,4.0000,10.0000,null,14.0000
Las Heras,16,122.0000,69.0000,51.0000,71.0000,8.0000,61.0000,25.0000,55.0000
Del Tejar,9,163.0000,208.0000,111.0000,52.0000,42.0000,166.0000,6.0000,208.0000
Florencio Varela,1,42.0000,35.0000,6.0000,36.0000,8.0000,27.0000,8.0000,35.0000
Buen Ayre,8,250.0000,226.0000,131.0000,119.0000,44.0000,182.0000,46.0000,179.0000
Bulnes,15,52.0000,132.0000,33.0000,19.0000,8.0000,124.0000,3.0000,100.0000
Lima,21,236.0000,155.0000,59.0000,177.0000,15.0000,140.0000,83.0000,124.0000
Mitre,13,null,null,null,null,null,null,null,null
Parque Sarmiento,11,49.0000,121.0000,38.0000,11.0000,7.0000,114.0000,6.0000,92.0000
Bulnes,17,46.0000,108.0000,28.0000,18.0000,7.0000,101.0000,4.0000,81.0000
El Arco,3,null,null,null,null,null,null,null,null
Centenera,23,3.0000,7.0000,2.0000,1.0000,2.0000,5.0000,1.0000,6.0000
Rosario Sur,0,null,null,null,null,null,null,null,null
Disc Panamericana,1,2.0000,null,null,2.0000,null,null,null,null
CORS EVENTOS,13,25.0000,null,1.0000,24.0000,null,null,9.0000,null
CORS EVENTOS,18,5.0000,null,1.0000,4.0000,null,null,null,null
Zarate,12,63.0000,30.0000,23.0000,40.0000,3.0000,27.0000,15.0000,30.0000
Del Tejar,10,121.0000,303.0000,73.0000,48.0000,39.0000,264.0000,null,303.0000
Villa Allende,19,44.0000,199.0000,14.0000,30.0000,12.0000,187.0000,5.0000,106.0000
DISC Echeverria,15,null,38.0000,null,null,null,38.0000,null,10.0000
Rosario Sur,7,null,null,null,null,null,null,null,null
Alberdi,18,null,41.0000,null,null,null,41.0000,null,36.0000
Dialogos,7,169.0000,65.0000,100.0000,69.0000,26.0000,39.0000,16.0000,57.0000
Gutierrez,20,32.0000,44.0000,10.0000,22.0000,10.0000,34.0000,9.0000,33.0000
