estacion,hora,q_cafes_llevar_algo,q_cafes_local_algo,q_cafes_llevar_algo_leche,q_cafes_llevar_algo_otros,q_cafes_local_algo_leche,q_cafes_local_algo_otros
Cabildo,23,41.0000,32.0000,18.0000,23.0000,7.0000,25.0000
Disc Panamericana,23,1.0000,null,null,1.0000,null,null
CORS EVENTOS,9,438.0000,2.0000,210.0000,228.0000,null,2.0000
Santa Fe,2,null,null,null,null,null,null
Amanecer,16,284.0000,735.0000,127.0000,157.0000,null,735.0000
Rosario Sur,14,null,null,null,null,null,null
Fisherton,14,251.0000,1126.0000,22.0000,229.0000,null,1126.0000
Boulevard,21,39.0000,74.0000,16.0000,23.0000,14.0000,60.0000
Los Incas,13,231.0000,7.0000,198.0000,33.0000,null,7.0000
Villa Luro,21,191.0000,494.0000,86.0000,105.0000,166.0000,328.0000
Anchorena,8,null,null,null,null,null,null
Luis Viale,7,886.0000,1209.0000,183.0000,703.0000,359.0000,850.0000
Gutierrez,19,220.0000,435.0000,130.0000,90.0000,184.0000,251.0000
Las Heras,3,139.0000,75.0000,96.0000,43.0000,28.0000,47.0000
La Carmela,12,204.0000,205.0000,94.0000,110.0000,53.0000,152.0000
Alvear,8,1799.0000,4263.0000,1098.0000,701.0000,2256.0000,2007.0000
Santa Fe,21,48.0000,16.0000,15.0000,33.0000,3.0000,13.0000
Villa Luro,20,242.0000,747.0000,120.0000,122.0000,257.0000,490.0000
El Arco,6,896.0000,731.0000,587.0000,309.0000,410.0000,321.0000
Amanecer,20,124.0000,311.0000,41.0000,83.0000,1.0000,310.0000
Mitre,9,null,null,null,null,null,null
Arroyo Seco,20,2324.0000,2242.0000,1075.0000,1249.0000,857.0000,1385.0000
La Bandera,8,781.0000,2332.0000,550.0000,231.0000,958.0000,1374.0000
Emilio Castro,11,403.0000,411.0000,187.0000,216.0000,143.0000,268.0000
Amanecer,8,1542.0000,1557.0000,787.0000,755.0000,null,1557.0000
San Isidro,11,834.0000,1616.0000,407.0000,427.0000,574.0000,1042.0000
Gutierrez,17,293.0000,830.0000,168.0000,125.0000,359.0000,471.0000
Maschwitz,5,null,136.0000,null,null,null,136.0000
Los Incas,22,36.0000,2.0000,26.0000,10.0000,null,2.0000
El Club,22,171.0000,460.0000,66.0000,105.0000,137.0000,323.0000
AUBASA LP-BA,13,763.0000,1300.0000,289.0000,474.0000,366.0000,934.0000
Buen Ayre,22,201.0000,380.0000,72.0000,129.0000,116.0000,264.0000
Santa Fe,5,null,null,null,null,null,null
AUBASA BA-LP,9,4647.0000,7155.0000,2734.0000,1913.0000,3809.0000,3346.0000
AUBASA LP-BA,14,922.0000,1552.0000,359.0000,563.0000,377.0000,1175.0000
AUBASA LP-BA,7,4301.0000,2359.0000,2615.0000,1686.0000,1278.0000,1081.0000
Fisherton,21,81.0000,220.0000,14.0000,67.0000,null,220.0000
Los Incas,18,264.0000,7.0000,199.0000,65.0000,null,7.0000
Dialogos,8,1723.0000,1847.0000,1080.0000,643.0000,1126.0000,721.0000
Garay,17,426.0000,1285.0000,165.0000,261.0000,242.0000,1043.0000
Gral Paz Capital,19,1235.0000,1786.0000,797.0000,438.0000,null,1786.0000
Anchorena,7,null,null,null,null,null,null
Lima,13,1367.0000,1876.0000,467.0000,900.0000,352.0000,1524.0000
Florencio Varela,18,352.0000,1035.0000,266.0000,86.0000,541.0000,494.0000
Los Incas,16,229.0000,11.0000,168.0000,61.0000,null,11.0000
Parque Sarmiento,14,274.0000,675.0000,89.0000,185.0000,102.0000,573.0000
Villa Allende,16,330.0000,1125.0000,159.0000,171.0000,272.0000,853.0000
Luis Viale,9,980.0000,1301.0000,162.0000,818.0000,464.0000,837.0000
Boulevard,14,158.0000,739.0000,78.0000,80.0000,162.0000,577.0000
DISC Echeverria,20,null,25.0000,null,null,null,25.0000
Bulnes,3,null,null,null,null,null,null
Emilio Castro,4,109.0000,106.0000,53.0000,56.0000,50.0000,56.0000
Del Tejar,7,1456.0000,1748.0000,1295.0000,161.0000,1101.0000,647.0000
Alsina,23,145.0000,280.0000,12.0000,133.0000,28.0000,252.0000
Fisherton,0,27.0000,161.0000,1.0000,26.0000,null,161.0000
Villa Luro,12,445.0000,1285.0000,196.0000,249.0000,556.0000,729.0000
Olivos,18,468.0000,939.0000,372.0000,96.0000,383.0000,556.0000
Del Tejar,2,139.0000,225.0000,100.0000,39.0000,78.0000,147.0000
CORS EVENTOS,15,303.0000,2.0000,84.0000,219.0000,null,2.0000
San Isidro,22,74.0000,189.0000,25.0000,49.0000,51.0000,138.0000
Garay,21,125.0000,281.0000,48.0000,77.0000,58.0000,223.0000
Disc Panamericana,10,57.0000,66.0000,2.0000,55.0000,null,66.0000
Santa Fe,4,null,null,null,null,null,null
Centenera,5,267.0000,139.0000,123.0000,144.0000,57.0000,82.0000
Villa Allende,5,12.0000,63.0000,7.0000,5.0000,16.0000,47.0000
Alberdi,3,null,27.0000,null,null,null,27.0000
Del Tejar,21,160.0000,156.0000,97.0000,63.0000,45.0000,111.0000
Del Tejar,13,314.0000,504.0000,263.0000,51.0000,197.0000,307.0000
