estacion,hora,dia_semana,q_cafes_llevar_algo_leche_sinbakery_alfajor_cachafaz,q_cafes_llevar_algo_otros_sinbakery_alfajor_cachafaz,q_cafes_local_algo_leche_sinbakery_alfajor_cachafaz,q_cafes_local_algo_otros_sinbakery_alfajor_cachafaz
Del Tejar,14,7,,,,
Florencio Varela,16,1,,,,6.0000
Alvear,12,5,,,2.0000,2.0000
El Arco,13,7,,,,
Quilmes,19,4,,1.0000,1.0000,8.0000
Alvear,4,1,4.0000,1.0000,,4.0000
Alvear,15,4,,,,22.0000
Del Tejar,13,4,,1.0000,1.0000,4.0000
Gutierrez,21,6,2.0000,,,
Gral Paz Provincia,18,3,4.0000,2.0000,,5.0000
La Carmela,19,3,,4.0000,,
El Club,14,2,,1.0000,1.0000,10.0000
Congreso,19,7,,,,
Los Incas,9,2,,1.0000,,1.0000
Gral Paz Capital,1,4,1.0000,2.0000,2.0000,6.0000
El Club,0,3,2.0000,,,6.0000
CORS Alem,7,6,4.0000,5.0000,,
Alsina,1,4,1.0000,,,1.0000
Gral Paz Capital,15,3,,,,11.0000
Garay,18,6,1.0000,,,1.0000
Alvear,20,4,,,,
Lima,11,3,3.0000,2.0000,2.0000,9.0000
Zarate,22,6,1.0000,1.0000,,
Arroyo Seco,9,4,9.0000,6.0000,5.0000,5.0000
AUBASA LP-BA,20,7,3.0000,5.0000,3.0000,2.0000
Bonpland,22,5,,1.0000,,2.0000
Trelles,1,6,,2.0000,,1.0000
Boulevard,19,2,,,,1.0000
Luis Viale,9,3,,,,1.0000
Lima,11,6,6.0000,7.0000,3.0000,6.0000
Lima,0,3,5.0000,1.0000,,3.0000
Alvear,14,4,2.0000,1.0000,2.0000,16.0000
El Club,22,7,,,2.0000,10.0000
Garay,20,3,2.0000,1.0000,,5.0000
Villa Luro,6,6,1.0000,,,1.0000
Floresta,19,7,,,,
Maipu,16,5,2.0000,1.0000,,
Quilmes,16,2,,,,2.0000
Olivos,2,1,2.0000,,2.0000,2.0000
San Isidro,16,7,,1.0000,1.0000,7.0000
Cabildo,15,5,,,,1.0000
Zarate,17,5,,3.0000,,1.0000
Garay,10,1,2.0000,,1.0000,2.0000
La Carmela,18,3,3.0000,2.0000,,
Gral Paz Provincia,11,1,1.0000,2.0000,,1.0000
Buen Ayre,9,5,4.0000,12.0000,4.0000,6.0000
Alsina,11,2,,,,2.0000
Santa Rita,23,5,,,,
San Isidro,10,5,,2.0000,,3.0000
San Isidro,14,6,,2.0000,,4.0000
AUBASA LP-BA,21,6,,1.0000,,1.0000
Santa Rita,17,2,1.0000,1.0000,,2.0000
Zarate,6,5,,,,
Emilio Castro,17,6,1.0000,,,
El Arco,12,2,,,,
