estacion,hora,q_cafes_llevar_algo_leche_bakery,q_cafes_llevar_algo_otros_bakery,q_cafes_local_algo_leche_bakery,q_cafes_local_algo_otros_bakery
Quilmes,19,76.0000,39.0000,150.0000,113.0000
Fisherton,22,null,10.0000,null,16.0000
AUBASA LP-BA,3,130.0000,162.0000,52.0000,95.0000
Luis Viale,3,19.0000,58.0000,16.0000,108.0000
San Isidro,7,865.0000,488.0000,690.0000,724.0000
AUBASA LP-BA,22,106.0000,87.0000,55.0000,94.0000
Dialogos,15,95.0000,69.0000,169.0000,163.0000
Congreso,15,52.0000,169.0000,63.0000,355.0000
Los Incas,6,339.0000,56.0000,null,6.0000
Los Incas,2,14.0000,2.0000,null,1.0000
Alvear,23,33.0000,30.0000,121.0000,152.0000
Cabildo,9,206.0000,65.0000,112.0000,98.0000
Quilmes,15,44.0000,33.0000,121.0000,176.0000
Buen Ayre,20,139.0000,62.0000,191.0000,175.0000
Florencio Varela,15,88.0000,16.0000,251.0000,142.0000
Zarate Brazo Largo,21,47.0000,10.0000,1.0000,58.0000
Floresta,5,83.0000,187.0000,388.0000,606.0000
Villa Luro,16,193.0000,165.0000,454.0000,733.0000
Alvear,20,73.0000,79.0000,326.0000,327.0000
San Isidro,2,34.0000,49.0000,40.0000,66.0000
Arroyo Seco,4,363.0000,204.0000,195.0000,213.0000
Dialogos,23,14.0000,11.0000,20.0000,28.0000
Villa Luro,3,67.0000,83.0000,92.0000,85.0000
Del Tejar,12,377.0000,37.0000,251.0000,299.0000
Quilmes,1,31.0000,17.0000,19.0000,23.0000
Quilmes,0,25.0000,19.0000,15.0000,33.0000
Arroyo Seco,23,164.0000,172.0000,190.0000,132.0000
Santa Fe,18,24.0000,24.0000,19.0000,37.0000
Villa Luro,4,154.0000,149.0000,198.0000,216.0000
Del Tejar,14,151.0000,44.0000,130.0000,203.0000
Buen Ayre,3,68.0000,109.0000,82.0000,96.0000
Quilmes,12,69.0000,60.0000,179.0000,227.0000
Alvear,2,76.0000,43.0000,179.0000,197.0000
Amanecer,17,89.0000,77.0000,null,516.0000
Alsina,17,149.0000,537.0000,209.0000,667.0000
Parque Sarmiento,4,135.0000,10.0000,3.0000,16.0000
San Isidro,8,903.0000,578.0000,855.0000,773.0000
Bulnes,14,16.0000,3.0000,34.0000,63.0000
Gutierrez,5,129.0000,54.0000,140.0000,112.0000
Los Incas,4,31.0000,9.0000,null,null
Congreso,2,26.0000,50.0000,32.0000,35.0000
Centenera,18,30.0000,22.0000,77.0000,73.0000
Emilio Castro,0,8.0000,6.0000,2.0000,7.0000
Centenera,22,6.0000,1.0000,7.0000,10.0000
Los Incas,3,27.0000,9.0000,null,1.0000
Trelles,3,25.0000,35.0000,18.0000,24.0000
Quilmes,13,41.0000,24.0000,90.0000,87.0000
Floresta,1,9.0000,56.0000,21.0000,48.0000
America,4,26.0000,57.0000,null,77.0000
San Isidro,23,14.0000,26.0000,8.0000,34.0000
La Carmela,23,17.0000,15.0000,18.0000,19.0000
Florencio Varela,22,9.0000,16.0000,11.0000,57.0000
Amanecer,22,9.0000,17.0000,null,61.0000
La Bandera,21,null,1.0000,5.0000,44.0000
Santa Fe,19,30.0000,21.0000,16.0000,17.0000
Laferrere,0,5.0000,7.0000,34.0000,63.0000
Disc Panamericana,15,null,11.0000,1.0000,17.0000
America,23,9.0000,16.0000,null,53.0000
Bulnes,22,null,null,2.0000,1.0000
Disc Panamericana,4,1.0000,3.0000,null,null
Centenera,1,2.0000,null,3.0000,2.0000
Dialogos,1,11.0000,4.0000,3.0000,5.0000
Disc Panamericana,22,null,1.0000,null,null
Zarate,4,1.0000,null,1.0000,null
DISC Caraffa,4,null,null,null,null
DISC Caraffa,0,null,3.0000,null,1.0000
