estacion,hora,q_cafes_llevar_algo_leche_sinbakery,q_cafes_llevar_algo_otros_sinbakery,q_cafes_local_algo_leche_sinbakery,q_cafes_local_algo_otros_sinbakery
DISC Echeverria,16,null,null,null,62.0000
DISC Echeverria,19,null,null,null,70.0000
Ovidio Lagos,17,42.0000,115.0000,32.0000,475.0000
Boulevard,9,187.0000,236.0000,94.0000,639.0000
Centenera,20,33.0000,21.0000,21.0000,40.0000
Dialogos,18,197.0000,111.0000,180.0000,245.0000
Mitre,7,null,null,null,null
America,8,353.0000,305.0000,1.0000,335.0000
La Bandera,6,119.0000,27.0000,70.0000,177.0000
Las Heras,1,27.0000,35.0000,14.0000,69.0000
Zarate,18,173.0000,94.0000,47.0000,150.0000
Gral Paz Capital,4,393.0000,134.0000,null,280.0000
DISC Echeverria,9,null,null,null,171.0000
Santa Fe,20,21.0000,27.0000,6.0000,20.0000
Bulnes,21,14.0000,8.0000,22.0000,60.0000
AUBASA BA-LP,8,855.0000,1065.0000,908.0000,922.0000
Los Incas,14,80.0000,42.0000,null,4.0000
Las Heras,5,51.0000,167.0000,12.0000,53.0000
Laferrere,7,207.0000,123.0000,130.0000,71.0000
Del Tejar,11,155.0000,66.0000,107.0000,409.0000
Arroyo Seco,7,939.0000,919.0000,241.0000,569.0000
Gutierrez,18,133.0000,111.0000,124.0000,256.0000
Mitre,12,null,null,null,null
Luis Viale,8,59.0000,416.0000,103.0000,202.0000
Mitre,15,null,null,null,null
Ovidio Lagos,1,18.0000,42.0000,37.0000,160.0000
Floresta,19,17.0000,85.0000,34.0000,163.0000
Bulnes,19,53.0000,27.0000,62.0000,191.0000
Dialogos,11,128.0000,93.0000,100.0000,266.0000
Mitre,11,null,null,null,null
Luis Viale,15,50.0000,165.0000,107.0000,580.0000
Maschwitz,14,null,null,null,120.0000
San Isidro,12,118.0000,182.0000,99.0000,513.0000
Gral Paz Capital,13,182.0000,172.0000,null,820.0000
Gutierrez,0,26.0000,51.0000,39.0000,113.0000
El Arco,8,245.0000,204.0000,68.0000,255.0000
Gral Paz Capital,14,165.0000,159.0000,null,1220.0000
Los Incas,0,62.0000,23.0000,null,2.0000
Maschwitz,2,null,null,null,84.0000
Alsina,8,104.0000,166.0000,70.0000,308.0000
AUBASA BA-LP,4,140.0000,236.0000,38.0000,140.0000
Bulnes,1,null,null,null,null
El Arco,20,71.0000,64.0000,46.0000,287.0000
La Carmela,20,65.0000,113.0000,36.0000,113.0000
La Carmela,5,151.0000,186.0000,57.0000,58.0000
Gral Paz Capital,22,171.0000,56.0000,null,345.0000
Olivos,16,165.0000,65.0000,168.0000,372.0000
Pilar,5,46.0000,102.0000,19.0000,23.0000
Amanecer,3,20.0000,53.0000,1.0000,110.0000
Pilar,1,19.0000,79.0000,26.0000,45.0000
Floresta,17,49.0000,137.0000,37.0000,248.0000
AUBASA BA-LP,19,344.0000,698.0000,355.0000,749.0000
Los Incas,9,324.0000,83.0000,null,14.0000
Gutierrez,6,92.0000,119.0000,81.0000,82.0000
Alsina,9,114.0000,193.0000,90.0000,324.0000
Boulevard,2,null,null,null,null
Alberdi,10,null,null,null,207.0000
Del Tejar,1,21.0000,51.0000,12.0000,145.0000
Gral Paz Provincia,7,882.0000,540.0000,475.0000,570.0000
Cabildo,1,39.0000,42.0000,17.0000,35.0000
