estacion,hora,dia_semana,q_cafes_llevar_solo,q_cafes_local_solo,q_cafes_llevar_solo_leche,q_cafes_llevar_solo_otros,q_cafes_local_solo_leche,q_cafes_local_solo_otros,q_cafes_llevar_solo_otros_negro,q_cafes_local_solo_otros_negro
Alvear,13,5,18.0000,121.0000,11.0000,7.0000,18.0000,103.0000,3.0000,97.0000
Villa Luro,6,5,62.0000,51.0000,25.0000,37.0000,29.0000,22.0000,7.0000,39.0000
Laferrere,1,2,3.0000,19.0000,1.0000,2.0000,12.0000,7.0000,2.0000,19.0000
Pilar,20,6,9.0000,11.0000,7.0000,2.0000,2.0000,9.0000,,11.0000
Ovidio Lagos,16,3,5.0000,68.0000,1.0000,4.0000,2.0000,66.0000,,67.0000
Alvear,6,7,71.0000,105.0000,28.0000,43.0000,10.0000,95.0000,25.0000,64.0000
Villa Luro,12,6,18.0000,75.0000,12.0000,6.0000,7.0000,68.0000,1.0000,50.0000
Maschwitz,10,2,22.0000,,10.0000,12.0000,,,,
Congreso,10,2,56.0000,64.0000,25.0000,31.0000,5.0000,59.0000,13.0000,56.0000
Amanecer,23,4,5.0000,19.0000,1.0000,4.0000,1.0000,18.0000,,15.0000
Centenera,14,3,8.0000,21.0000,5.0000,3.0000,3.0000,18.0000,2.0000,17.0000
Zarate,3,2,4.0000,3.0000,1.0000,3.0000,,3.0000,,3.0000
Garay,2,2,15.0000,28.0000,11.0000,4.0000,5.0000,23.0000,,26.0000
Santa Rita,17,4,13.0000,44.0000,4.0000,9.0000,4.0000,40.0000,2.0000,33.0000
Dialogos,17,5,19.0000,24.0000,12.0000,7.0000,10.0000,14.0000,,19.0000
Lima,18,5,127.0000,80.0000,45.0000,82.0000,8.0000,72.0000,32.0000,52.0000
Trelles,14,1,6.0000,14.0000,3.0000,3.0000,2.0000,12.0000,,13.0000
Laferrere,15,2,1.0000,13.0000,,1.0000,1.0000,12.0000,1.0000,11.0000
Buen Ayre,19,3,53.0000,90.0000,23.0000,30.0000,14.0000,76.0000,7.0000,67.0000
Del Tejar,6,6,39.0000,67.0000,22.0000,17.0000,12.0000,55.0000,4.0000,60.0000
Florencio Varela,10,1,20.0000,26.0000,14.0000,6.0000,6.0000,20.0000,2.0000,23.0000
Zarate,6,3,39.0000,7.0000,17.0000,22.0000,2.0000,5.0000,,7.0000
Luis Viale,12,6,5.0000,59.0000,2.0000,3.0000,4.0000,55.0000,2.0000,37.0000
Parque Sarmiento,18,3,39.0000,39.0000,17.0000,22.0000,9.0000,30.0000,8.0000,34.0000
Luis Viale,8,5,31.0000,28.0000,11.0000,20.0000,1.0000,27.0000,10.0000,9.0000
Santa Fe,9,3,28.0000,20.0000,9.0000,19.0000,3.0000,17.0000,9.0000,19.0000
Bulnes,19,7,1.0000,14.0000,,1.0000,1.0000,13.0000,1.0000,14.0000
Villa Allende,7,6,56.0000,16.0000,5.0000,51.0000,2.0000,14.0000,18.0000,9.0000
AUBASA BA-LP,13,1,42.0000,21.0000,12.0000,30.0000,1.0000,20.0000,11.0000,14.0000
Trelles,16,2,5.0000,22.0000,,5.0000,1.0000,21.0000,1.0000,16.0000
Alsina,14,2,24.0000,32.0000,7.0000,17.0000,2.0000,30.0000,10.0000,25.0000
Garay,4,4,5.0000,8.0000,2.0000,3.0000,,8.0000,,5.0000
Del Tejar,15,6,16.0000,85.0000,8.0000,8.0000,8.0000,77.0000,1.0000,71.0000
Zarate Brazo Largo,21,2,11.0000,2.0000,6.0000,5.0000,,2.0000,1.0000,1.0000
Amanecer,8,7,61.0000,57.0000,30.0000,31.0000,12.0000,45.0000,15.0000,50.0000
Villa Luro,7,3,74.0000,42.0000,34.0000,40.0000,7.0000,35.0000,12.0000,28.0000
Amanecer,22,4,4.0000,22.0000,,4.0000,1.0000,21.0000,1.0000,20.0000
Congreso,22,1,5.0000,23.0000,2.0000,3.0000,,23.0000,1.0000,22.0000
Gral Paz Provincia,8,6,182.0000,98.0000,91.0000,91.0000,18.0000,80.0000,30.0000,74.0000
Amanecer,11,5,31.0000,66.0000,14.0000,17.0000,7.0000,59.0000,7.0000,65.0000
Laferrere,15,5,6.0000,16.0000,,6.0000,1.0000,15.0000,2.0000,15.0000
Dialogos,10,7,30.0000,21.0000,21.0000,9.0000,3.0000,18.0000,,18.0000
Boulevard,17,2,15.0000,89.0000,10.0000,5.0000,9.0000,80.0000,3.0000,80.0000
Fisherton,3,3,7.0000,10.0000,4.0000,3.0000,1.0000,9.0000,2.0000,6.0000
