estacion,hora,dia_semana,q_cafes_llevar_mas_1
Dialogos,13,5,7.0000
Alsina,8,7,30.0000
Pilar,19,2,13.0000
Congreso,3,2,18.0000
Villa Luro,12,6,33.0000
La Bandera,21,1,7.0000
OPERADOR LOGISTICO 2,19,6,
Pilar,18,6,27.0000
Maipu,15,5,7.0000
Bulnes,19,7,7.0000
El Arco,15,1,20.0000
La Carmela,12,6,16.0000
Zarate,14,1,8.0000
El Arco,14,5,4.0000
Gral Paz Provincia,4,3,68.0000
Del Tejar,15,6,14.0000
El Arco,0,3,12.0000
Emilio Castro,7,3,36.0000
Parque Sarmiento,9,7,49.0000
La Carmela,7,3,68.0000
Santa Rita,18,6,22.0000
Santa Rita,0,2,6.0000
Trelles,6,7,34.0000
El Club,4,2,2.0000
Boulevard,1,5,
Olivos,14,3,7.0000
Alvear,13,1,20.0000
El Arco,4,7,23.0000
San Isidro,22,7,7.0000
La Carmela,0,3,17.0000
Luis Viale,19,7,7.0000
AUBASA LP-BA,13,4,57.0000
Florencio Varela,20,1,16.0000
Zarate Brazo Largo,5,1,69.0000
Zarate,9,6,62.0000
Luis Viale,14,2,2.0000
Ovidio Lagos,20,1,12.0000
Olivos,2,6,4.0000
El Club,0,3,49.0000
Del Tejar,14,5,11.0000
Maschwitz,3,7,4.0000
Santa Rita,16,7,31.0000
Congreso,5,4,28.0000
Maschwitz,4,6,8.0000
Congreso,22,1,22.0000
Laferrere,12,2,2.0000
Santa Rita,15,3,22.0000
Congreso,3,5,22.0000
Bonpland,11,1,33.0000
Luis Viale,18,5,13.0000
Del Tejar,6,7,38.0000
Del Tejar,2,5,5.0000
La Carmela,0,5,6.0000
Santa Fe,9,3,40.0000
Alberdi,12,7,6.0000
Luis Viale,7,1,13.0000
El Arco,13,6,2.0000
Luis Viale,17,3,27.0000
OPERADOR LOGISTICO 2,14,6,
Fisherton,3,1,26.0000
Floresta,8,4,16.0000
Luis Viale,13,7,15.0000
Quilmes,19,4,6.0000
Los Incas,9,2,25.0000
Bulnes,14,2,
Olivos,20,5,9.0000
Boulevard,13,4,6.0000
Alsina,7,2,26.0000
Florencio Varela,23,5,6.0000
Villa Luro,0,4,11.0000
Olivos,19,1,22.0000
Del Tejar,13,3,10.0000
Quilmes,22,3,2.0000
Zarate,9,5,71.0000
America,5,6,14.0000
Garay,5,1,14.0000
OPERADOR LOGISTICO 2,15,3,
Alsina,11,4,14.0000
Boulevard,0,3,4.0000
Centenera,15,5,15.0000
Zarate Brazo Largo,1,5,25.0000
El Club,5,5,25.0000
Floresta,5,6,25.0000
Trelles,16,2,14.0000
La Carmela,13,6,6.0000
Santa Fe,13,7,4.0000
San Isidro,3,7,22.0000
AUBASA LP-BA,14,6,56.0000
Zarate,13,3,8.0000
Santa Rita,14,3,9.0000
Trelles,3,2,4.0000
La Carmela,13,7,15.0000
Florencio Varela,17,2,40.0000
OPERADOR LOGISTICO 2,10,6,
Florencio Varela,15,3,17.0000
Alsina,1,4,4.0000
Trelles,13,1,
Alvear,20,4,20.0000
Gutierrez,15,3,10.0000
Emilio Castro,4,7,7.0000
Centenera,16,2,8.0000
Laferrere,15,5,5.0000
Olivos,22,1,4.0000
Los Incas,2,4,4.0000
Fisherton,21,5,
Luis Viale,20,2,7.0000
Santa Rita,19,7,29.0000
Luis Viale,20,3,12.0000
Parque Sarmiento,0,7,4.0000
Boulevard,22,5,4.0000
La Carmela,20,7,15.0000
AUBASA BA-LP,0,4,55.0000
Del Tejar,13,4,2.0000
Maschwitz,16,4,15.0000
Alsina,8,2,22.0000
Garay,18,6,37.0000
Dialogos,2,7,10.0000
Boulevard,2,4,6.0000
Lima,22,5,70.0000
Zarate,15,6,16.0000
Alsina,5,7,15.0000
Emilio Castro,23,6,7.0000
AUBASA LP-BA,2,2,68.0000
Santa Fe,10,3,30.0000
Florencio Varela,21,4,14.0000
Las Heras,15,7,7.0000
Ovidio Lagos,5,6,7.0000
La Bandera,1,4,2.0000
Florencio Varela,15,6,18.0000
Olivos,14,4,7.0000
Alberdi,19,1,14.0000
El Club,5,2,12.0000
Floresta,13,4,12.0000
Dialogos,3,5,2.0000
Quilmes,23,1,9.0000
El Arco,21,5,8.0000
Garay,2,6,2.0000
Bonpland,13,6,10.0000
Congreso,19,7,12.0000
Maipu,18,5,7.0000
Zarate,22,6,16.0000
Centenera,5,7,18.0000
Gutierrez,14,1,6.0000
Maipu,15,3,11.0000
Floresta,0,2,10.0000
