estacion,hora,q_cafes_llevar_solo_otros_negro1,q_cafes_local_solo_otros_negro1
Olivos,12,null,9.0000
Laferrere,2,9.0000,24.0000
Floresta,13,null,null
Maschwitz,12,null,1.0000
Alberdi,9,null,9.0000
La Carmela,14,15.0000,null
Alberdi,0,null,4.0000
Zarate Brazo Largo,22,null,null
Los Incas,11,4.0000,null
Villa Allende,14,5.0000,82.0000
Los Incas,5,6.0000,null
Cabildo,4,4.0000,7.0000
Floresta,18,3.0000,null
Maipu,5,null,null
El Arco,21,9.0000,40.0000
Laferrere,6,7.0000,10.0000
Cabildo,2,3.0000,5.0000
Amanecer,0,4.0000,null
Santa Rita,5,3.0000,null
Floresta,22,4.0000,null
La Carmela,17,20.0000,null
Floresta,11,3.0000,null
Amanecer,2,3.0000,null
DISC Echeverria,2,null,18.0000
Alberdi,1,null,6.0000
Zarate Brazo Largo,23,null,null
Anchorena,10,null,null
Zarate,23,3.0000,1.0000
Alberdi,21,null,2.0000
Alberdi,13,null,5.0000
Quilmes,21,6.0000,13.0000
CORS EVENTOS,17,28.0000,null
Laferrere,20,2.0000,38.0000
Emilio Castro,17,4.0000,9.0000
Zarate,15,7.0000,1.0000
Anchorena,12,null,null
Cabildo,20,2.0000,22.0000
Buen Ayre,2,10.0000,6.0000
Emilio Castro,18,8.0000,7.0000
Emilio Castro,5,4.0000,5.0000
Anchorena,9,null,null
Florencio Varela,2,4.0000,null
Anchorena,22,null,null
Santa Rita,21,null,2.0000
DISC Caraffa,14,null,9.0000
Alberdi,14,null,8.0000
Centenera,4,7.0000,3.0000
DISC Echeverria,13,null,12.0000
Anchorena,11,null,null
DISC Caraffa,19,null,4.0000
Disc Panamericana,7,null,null
Disc Panamericana,21,null,null
Disc Panamericana,13,null,null
Disc Panamericana,6,null,null
Dialogos,2,null,null
Disc Panamericana,2,null,null
Pilar,21,6.0000,null
Buen Ayre,13,25.0000,61.0000
Pilar,11,13.0000,null
Del Tejar,17,4.0000,2.0000
Gral Paz Provincia,2,45.0000,33.0000
Fisherton,20,9.0000,33.0000
Ovidio Lagos,6,null,null
Alsina,16,19.0000,4.0000
Fisherton,12,17.0000,178.0000
Cabildo,15,6.0000,35.0000
Alvear,19,17.0000,54.0000
Quilmes,20,7.0000,10.0000
AUBASA LP-BA,6,61.0000,23.0000
Trelles,10,31.0000,78.0000
Libertador,17,33.0000,61.0000
Gutierrez,21,6.0000,8.0000
Lima,10,191.0000,147.0000
Lima,3,132.0000,35.0000
Olivos,15,2.0000,29.0000
Gral Paz Provincia,23,40.0000,45.0000
Zarate,20,2.0000,1.0000
Arroyo Seco,3,95.0000,50.0000
Maipu,14,null,25.0000
Cabildo,18,1.0000,42.0000
Quilmes,16,12.0000,35.0000
Cabildo,0,7.0000,5.0000
El Arco,17,15.0000,90.0000
Alsina,12,7.0000,2.0000
Zarate,6,11.0000,1.0000
San Isidro,15,26.0000,47.0000
Laferrere,3,14.0000,8.0000
Boulevard,17,26.0000,53.0000
Zarate Brazo Largo,20,null,null
Maschwitz,11,null,14.0000
Pilar,20,5.0000,null
La Carmela,15,24.0000,null
Lima,20,152.0000,102.0000
Centenera,2,5.0000,1.0000
Trelles,21,6.0000,21.0000
AUBASA LP-BA,5,44.0000,12.0000
Cabildo,7,4.0000,16.0000
Libertador,21,15.0000,17.0000
Gral Paz Provincia,22,30.0000,43.0000
Laferrere,16,8.0000,98.0000
Gral Paz Capital,0,18.0000,null
Zarate,0,5.0000,null
Olivos,11,3.0000,24.0000
Libertador,19,10.0000,31.0000
San Isidro,14,23.0000,39.0000
Arroyo Seco,14,140.0000,567.0000
Maipu,20,null,9.0000
Villa Luro,22,6.0000,21.0000
Bonpland,18,12.0000,64.0000
Laferrere,9,6.0000,25.0000
Dialogos,0,10.0000,7.0000
Villa Luro,15,13.0000,110.0000
La Carmela,21,20.0000,null
Zarate,17,6.0000,1.0000
Centenera,17,21.0000,3.0000
AUBASA BA-LP,13,42.0000,68.0000
Gutierrez,9,26.0000,18.0000
El Club,5,9.0000,10.0000
Gutierrez,2,4.0000,10.0000
La Bandera,9,17.0000,142.0000
Bonpland,16,26.0000,76.0000
Ovidio Lagos,8,null,null
Parque Sarmiento,10,27.0000,27.0000
America,10,45.0000,null
Libertador,5,30.0000,5.0000
Boulevard,6,39.0000,25.0000
Gral Paz Capital,8,177.0000,null
Lima,6,203.0000,36.0000
Bulnes,18,4.0000,23.0000
Maipu,19,null,12.0000
Maipu,21,null,3.0000
Garay,3,4.0000,5.0000
Cabildo,11,4.0000,37.0000
Boulevard,12,22.0000,81.0000
Dialogos,12,4.0000,6.0000
La Carmela,1,34.0000,null
Las Heras,14,22.0000,23.0000
Olivos,7,4.0000,null
El Club,16,33.0000,139.0000
Florencio Varela,0,15.0000,null
Villa Allende,12,6.0000,115.0000
La Carmela,16,31.0000,null
Gral Paz Provincia,14,22.0000,123.0000
Libertador,1,34.0000,19.0000
AUBASA LP-BA,2,55.0000,19.0000
Arroyo Seco,2,81.0000,46.0000
Maipu,3,null,1.0000
Quilmes,8,62.0000,83.0000
Alsina,7,6.0000,null
Santa Fe,6,19.0000,1.0000
Floresta,0,10.0000,null
Gral Paz Capital,9,166.0000,null
La Bandera,20,6.0000,47.0000
Maipu,13,null,1.0000
Bulnes,10,14.0000,32.0000
Maipu,12,null,2.0000
Laferrere,8,8.0000,24.0000
Luis Viale,22,2.0000,9.0000
Centenera,11,21.0000,5.0000
Garay,20,5.0000,48.0000
Ovidio Lagos,10,null,null
AUBASA BA-LP,12,49.0000,66.0000
Amanecer,12,18.0000,null
Fisherton,2,23.0000,2.0000
La Bandera,13,8.0000,131.0000
Bonpland,5,20.0000,15.0000
Congreso,22,null,null
Bulnes,8,15.0000,50.0000
Ovidio Lagos,12,null,null
Gral Paz Provincia,13,21.0000,84.0000
Bonpland,1,31.0000,27.0000
Buen Ayre,14,28.0000,83.0000
Trelles,17,17.0000,53.0000
Villa Luro,13,13.0000,82.0000
AUBASA BA-LP,3,32.0000,14.0000
El Arco,19,18.0000,68.0000
Bulnes,20,null,8.0000
Arroyo Seco,8,163.0000,182.0000
Fisherton,18,28.0000,157.0000
El Club,12,17.0000,117.0000
AUBASA LP-BA,0,50.0000,18.0000
Alsina,18,13.0000,1.0000
Buen Ayre,17,26.0000,54.0000
Dialogos,16,10.0000,7.0000
Garay,10,15.0000,90.0000
DISC Echeverria,17,null,9.0000
Libertador,8,45.0000,52.0000
El Club,18,32.0000,109.0000
San Isidro,6,17.0000,5.0000
DISC Echeverria,16,null,28.0000
La Bandera,14,17.0000,208.0000
Las Heras,8,21.0000,8.0000
Gutierrez,16,14.0000,36.0000
Bulnes,13,6.0000,23.0000
America,8,53.0000,null
Boulevard,9,56.0000,102.0000
La Bandera,6,7.0000,19.0000
Dialogos,18,8.0000,3.0000
Ovidio Lagos,17,null,null
DISC Echeverria,9,null,47.0000
Gral Paz Capital,4,38.0000,null
Zarate,18,5.0000,null
AUBASA BA-LP,8,145.0000,88.0000
Las Heras,5,13.0000,3.0000
Del Tejar,11,null,null
Los Incas,14,4.0000,null
Laferrere,7,10.0000,8.0000
Arroyo Seco,7,114.0000,145.0000
Luis Viale,8,25.0000,18.0000
Ovidio Lagos,1,null,null
Gutierrez,18,22.0000,29.0000
Gral Paz Capital,14,53.0000,null
Dialogos,11,12.0000,11.0000
Gral Paz Capital,13,48.0000,null
Luis Viale,15,24.0000,99.0000
AUBASA BA-LP,4,36.0000,13.0000
El Arco,8,33.0000,50.0000
Maschwitz,2,null,8.0000
Bulnes,19,4.0000,24.0000
Gutierrez,0,8.0000,10.0000
Floresta,19,null,null
Maschwitz,14,null,11.0000
Los Incas,0,2.0000,null
San Isidro,12,16.0000,16.0000
El Arco,20,12.0000,40.0000
Olivos,16,5.0000,27.0000
La Carmela,20,31.0000,null
La Carmela,5,55.0000,null
Gral Paz Capital,22,7.0000,null
Pilar,5,16.0000,3.0000
AUBASA BA-LP,19,56.0000,47.0000
Alsina,9,11.0000,null
Gutierrez,6,20.0000,4.0000
Floresta,17,9.0000,null
Los Incas,9,15.0000,1.0000
DISC Echeverria,4,null,55.0000
Cabildo,1,3.0000,15.0000
Pilar,3,12.0000,1.0000
Maipu,1,null,3.0000
Gral Paz Provincia,7,89.0000,88.0000
Bonpland,20,12.0000,26.0000
Ovidio Lagos,19,null,null
Dialogos,17,13.0000,9.0000
Boulevard,19,9.0000,25.0000
AUBASA LP-BA,15,82.0000,127.0000
Parque Sarmiento,13,3.0000,13.0000
Gutierrez,14,12.0000,27.0000
Lima,0,154.0000,71.0000
Arroyo Seco,5,66.0000,25.0000
Emilio Castro,16,5.0000,15.0000
Las Heras,13,12.0000,8.0000
Las Heras,19,8.0000,8.0000
Alvear,4,25.0000,22.0000
El Club,19,12.0000,93.0000
Las Heras,12,7.0000,17.0000
Luis Viale,18,9.0000,72.0000
Trelles,8,58.0000,75.0000
Bonpland,11,39.0000,99.0000
America,7,48.0000,null
Del Tejar,6,3.0000,null
AUBASA BA-LP,18,65.0000,57.0000
Amanecer,11,30.0000,null
El Arco,9,36.0000,99.0000
Alvear,13,18.0000,79.0000
Gral Paz Capital,5,40.0000,null
Alsina,11,16.0000,5.0000
Villa Luro,23,10.0000,26.0000
Zarate,13,7.0000,1.0000
El Club,23,7.0000,36.0000
Gral Paz Capital,18,58.0000,null
America,14,21.0000,null
Florencio Varela,6,5.0000,8.0000
CORS EVENTOS,9,22.0000,null
Ovidio Lagos,2,null,null
Ovidio Lagos,14,null,null
La Bandera,18,7.0000,139.0000
America,13,22.0000,null
Zarate Brazo Largo,19,2.0000,null
Zarate Brazo Largo,10,null,null
Maipu,2,null,null
Alberdi,17,null,6.0000
Buen Ayre,18,19.0000,71.0000
America,17,19.0000,null
Bonpland,19,16.0000,49.0000
Alvear,18,31.0000,80.0000
Maschwitz,7,null,29.0000
Fisherton,7,39.0000,85.0000
AUBASA LP-BA,12,45.0000,49.0000
Villa Allende,13,1.0000,83.0000
Alsina,21,8.0000,2.0000
Gral Paz Provincia,6,106.0000,39.0000
San Isidro,5,18.0000,1.0000
Gral Paz Provincia,4,95.0000,24.0000
Fisherton,14,14.0000,68.0000
Villa Luro,21,8.0000,37.0000
Luis Viale,7,14.0000,20.0000
Gutierrez,19,14.0000,38.0000
Los Incas,13,4.0000,null
Amanecer,16,23.0000,null
Boulevard,21,13.0000,8.0000
La Carmela,12,21.0000,null
Alvear,8,115.0000,128.0000
La Bandera,8,25.0000,108.0000
Arroyo Seco,20,95.0000,201.0000
Amanecer,8,53.0000,null
Villa Luro,20,7.0000,57.0000
San Isidro,11,25.0000,30.0000
El Club,22,10.0000,35.0000
AUBASA LP-BA,13,41.0000,67.0000
Maschwitz,5,null,15.0000
Gutierrez,17,19.0000,15.0000
Buen Ayre,22,6.0000,7.0000
AUBASA LP-BA,14,54.0000,100.0000
Fisherton,21,13.0000,8.0000
Gral Paz Capital,19,45.0000,null
AUBASA BA-LP,9,122.0000,85.0000
Garay,17,7.0000,81.0000
AUBASA LP-BA,7,91.0000,38.0000
Dialogos,8,12.0000,4.0000
Anchorena,7,null,null
Lima,13,99.0000,102.0000
Boulevard,14,16.0000,56.0000
Parque Sarmiento,14,24.0000,7.0000
Villa Allende,16,21.0000,103.0000
Luis Viale,9,14.0000,35.0000
Florencio Varela,18,8.0000,null
Del Tejar,7,3.0000,null
Emilio Castro,4,6.0000,2.0000
Fisherton,0,17.0000,null
Alsina,23,27.0000,null
Fisherton,1,12.0000,1.0000
DISC Caraffa,17,null,6.0000
Santa Rita,13,3.0000,6.0000
Florencio Varela,17,5.0000,2.0000
Alsina,4,28.0000,null
Disc Panamericana,11,null,null
Pilar,23,10.0000,2.0000
Gral Paz Provincia,0,33.0000,34.0000
DISC Caraffa,21,null,8.0000
Olivos,2,2.0000,9.0000
Trelles,5,13.0000,19.0000
El Club,1,15.0000,34.0000
Alsina,5,72.0000,1.0000
Laferrere,14,6.0000,67.0000
Centenera,13,8.0000,6.0000
Disc Panamericana,12,null,null
Bonpland,3,23.0000,22.0000
El Club,0,10.0000,40.0000
Buen Ayre,0,5.0000,13.0000
Del Tejar,23,7.0000,null
Parque Sarmiento,23,null,1.0000
DISC Caraffa,15,null,11.0000
Maschwitz,17,null,16.0000
Anchorena,19,null,null
Las Heras,23,15.0000,5.0000
Las Heras,1,9.0000,null
Centenera,20,3.0000,5.0000
Alsina,8,9.0000,null
Pilar,1,8.0000,null
Fisherton,23,5.0000,null
Del Tejar,1,4.0000,null
Parque Sarmiento,2,2.0000,null
Congreso,0,null,null
Maschwitz,19,null,16.0000
Emilio Castro,15,6.0000,6.0000
Santa Rita,10,2.0000,7.0000
Garay,4,4.0000,4.0000
Cabildo,23,5.0000,9.0000
Anchorena,8,null,null
Las Heras,3,5.0000,3.0000
Amanecer,20,6.0000,null
Emilio Castro,11,6.0000,12.0000
Los Incas,18,5.0000,null
Los Incas,16,4.0000,null
Maschwitz,13,null,15.0000
Los Incas,23,6.0000,null
Zarate,21,2.0000,null
DISC Echeverria,10,null,38.0000
La Carmela,2,28.0000,null
La Carmela,0,18.0000,null
DISC Echeverria,19,null,10.0000
Amanecer,3,4.0000,null
Alberdi,10,null,25.0000
Santa Fe,10,15.0000,9.0000
Cabildo,13,1.0000,24.0000
Ovidio Lagos,22,null,null
Santa Rita,4,2.0000,null
Olivos,4,null,2.0000
El Arco,6,19.0000,2.0000
Disc Panamericana,9,null,null
La Carmela,19,8.0000,null
DISC Caraffa,6,null,7.0000
Zarate Brazo Largo,3,null,null
Santa Fe,17,9.0000,2.0000
Santa Rita,22,2.0000,1.0000
DISC Caraffa,23,null,null
Disc Panamericana,18,null,null
Santa Fe,11,10.0000,1.0000
Bulnes,21,2.0000,4.0000
DISC Echeverria,23,null,6.0000
DISC Echeverria,20,null,12.0000
Alberdi,22,null,2.0000
Florencio Varela,3,1.0000,null
Santa Fe,13,1.0000,3.0000
Disc Panamericana,20,null,null
Los Incas,22,3.0000,null
Villa Allende,2,null,1.0000
Disc Panamericana,17,null,null
La Bandera,5,null,null
DISC Caraffa,7,1.0000,2.0000
Santa Fe,14,4.0000,1.0000
Santa Fe,21,5.0000,null
Santa Fe,20,5.0000,1.0000
El Arco,22,null,1.0000
Alberdi,19,null,8.0000
CORS EVENTOS,7,null,null
Villa Allende,22,null,null
Dialogos,3,null,null
Disc Panamericana,23,null,null
Olivos,18,5.0000,25.0000
Villa Luro,12,25.0000,113.0000
CORS EVENTOS,15,62.0000,null
Del Tejar,2,2.0000,null
Disc Panamericana,10,2.0000,null
Garay,21,1.0000,15.0000
San Isidro,22,7.0000,null
Alberdi,3,null,2.0000
Ovidio Lagos,15,null,null
Del Tejar,13,1.0000,1.0000
Luis Viale,11,15.0000,56.0000
Del Tejar,21,3.0000,null
Arroyo Seco,9,131.0000,302.0000
Alvear,14,29.0000,132.0000
Congreso,9,4.0000,5.0000
Amanecer,19,14.0000,null
Alberdi,12,null,5.0000
Floresta,15,2.0000,null
Bonpland,9,45.0000,101.0000
Bulnes,16,5.0000,36.0000
Las Heras,20,6.0000,9.0000
Emilio Castro,20,9.0000,11.0000
Dialogos,19,6.0000,8.0000
Arroyo Seco,19,93.0000,228.0000
Lima,11,153.0000,160.0000
Santa Rita,3,2.0000,null
Alsina,2,35.0000,null
Luis Viale,21,10.0000,17.0000
Ovidio Lagos,13,null,null
Gral Paz Capital,6,121.0000,null
Trelles,7,33.0000,55.0000
Zarate Brazo Largo,7,null,null
Villa Allende,8,41.0000,115.0000
Floresta,12,1.0000,null
America,2,15.0000,null
Lima,2,174.0000,46.0000
La Bandera,10,11.0000,224.0000
Floresta,7,19.0000,null
Florencio Varela,16,8.0000,null
Parque Sarmiento,15,32.0000,11.0000
Fisherton,10,35.0000,324.0000
AUBASA LP-BA,19,63.0000,81.0000
Alvear,17,27.0000,96.0000
Zarate,10,7.0000,6.0000
El Arco,14,10.0000,44.0000
Alsina,19,10.0000,3.0000
Buen Ayre,1,6.0000,13.0000
Libertador,11,20.0000,60.0000
Villa Allende,20,7.0000,65.0000
Centenera,7,69.0000,6.0000
El Arco,18,13.0000,56.0000
El Arco,11,15.0000,91.0000
Las Heras,7,14.0000,4.0000
Arroyo Seco,10,143.0000,376.0000
Bonpland,15,16.0000,63.0000
El Club,8,40.0000,103.0000
Del Tejar,8,1.0000,null
Fisherton,6,31.0000,27.0000
Pilar,9,16.0000,null
Santa Fe,9,21.0000,7.0000
Bonpland,21,9.0000,27.0000
America,16,16.0000,null
Laferrere,22,null,32.0000
Libertador,13,28.0000,68.0000
AUBASA BA-LP,6,59.0000,24.0000
Alsina,15,17.0000,null
Trelles,0,14.0000,31.0000
Luis Viale,1,11.0000,17.0000
