estacion,hora,dia_semana,q_cafes_local_mas_1
Pilar,3,6,13.0000
Zarate,23,3,2.0000
Olivos,22,1,11.0000
Los Incas,17,1,
Los Incas,1,2,
Zarate Brazo Largo,2,2,2.0000
Floresta,20,2,8.0000
Zarate Brazo Largo,22,5,8.0000
Zarate,16,3,4.0000
Santa Fe,19,3,7.0000
Villa Allende,23,3,8.0000
Bulnes,14,7,8.0000
Congreso,3,5,2.0000
OPERADOR LOGISTICO,9,3,70.0000
Laferrere,15,2,23.0000
Alberdi,19,1,
Santa Rita,0,2,32.0000
Emilio Castro,12,6,18.0000
Cabildo,21,3,4.0000
Garay,1,4,6.0000
Los Incas,11,6,
OPERADOR LOGISTICO 2,13,2,5900.0000
Los Incas,15,7,
Pilar,21,3,15.0000
Maschwitz,15,2,
Maipu,14,1,10.0000
Cabildo,1,5,7.0000
La Bandera,21,5,10.0000
Gutierrez,3,5,21.0000
Boulevard,22,1,4.0000
Cabildo,22,7,
Maschwitz,11,3,
La Bandera,1,5,8.0000
CORS EVENTOS,16,1,
Maschwitz,22,5,
OPERADOR LOGISTICO 2,19,6,3637.0000
Los Incas,22,3,
Santa Fe,15,1,5.0000
Emilio Castro,6,1,6.0000
Trelles,14,1,2.0000
Garay,2,6,4.0000
Maschwitz,3,7,
Alberdi,12,7,
Los Incas,15,3,
Los Incas,0,4,
Boulevard,22,3,7.0000
Los Incas,0,2,
Zarate,2,2,4.0000
Cabildo,1,4,4.0000
Rosario Sur,5,5,
CORS EVENTOS,22,4,
Los Incas,2,4,
Boulevard,22,5,4.0000
Maschwitz,15,7,
Santa Rita,22,2,6.0000
CORS EVENTOS,15,3,
Alberdi,5,3,
Maipu,4,5,4.0000
OPERADOR LOGISTICO,11,4,1606.0000
Rivadavia,7,3,
Alberdi,21,6,
Fisherton,2,4,6.0000
Garay,22,4,11.0000
CORS EVENTOS,11,4,
Alberdi,4,7,
CORS EVENTOS,0,3,
Maschwitz,21,3,
Rivadavia,8,6,
CORS EVENTOS,21,7,
OPERADOR LOGISTICO,17,3,2000.0000
Maschwitz,19,2,
Rosario Sur,10,7,
Maschwitz,21,2,
Alberdi,1,4,
San Isidro,4,2,2.0000
Cabildo,22,5,2.0000
Rivadavia,8,2,
CORS EVENTOS,10,6,
Rosario Sur,19,6,
CORS EVENTOS,18,1,
Boulevard,2,3,
OPERADOR LOGISTICO,11,5,24.0000
Maschwitz,14,4,
Rivadavia,16,5,
Rivadavia,12,4,
Rosario Sur,11,3,
CORS EVENTOS,13,4,
Alvear,14,4,131.0000
Arroyo Seco,17,1,1286.0000
Fisherton,4,2,20.0000
Buen Ayre,16,1,506.0000
La Carmela,2,4,10.0000
Buen Ayre,8,7,647.0000
Dialogos,8,5,250.0000
Congreso,7,2,79.0000
AUBASA LP-BA,11,5,304.0000
Amanecer,10,6,120.0000
Olivos,19,7,72.0000
El Club,19,1,445.0000
Gral Paz Provincia,21,6,80.0000
Gral Paz Capital,23,3,121.0000
AUBASA BA-LP,13,6,167.0000
Arroyo Seco,8,6,2312.0000
Amanecer,7,7,73.0000
Alvear,19,7,180.0000
Alvear,14,2,124.0000
El Club,17,7,436.0000
Villa Luro,15,4,112.0000
El Arco,16,5,146.0000
El Club,17,6,296.0000
Maipu,8,5,36.0000
El Arco,12,5,133.0000
Santa Fe,9,6,53.0000
Amanecer,17,5,119.0000
AUBASA BA-LP,11,6,480.0000
Maipu,13,7,22.0000
La Bandera,8,2,115.0000
Bonpland,4,4,37.0000
