estacion,hora,q_cafes_llevar_algo_leche_sinbakery_sandwiches,q_cafes_llevar_algo_otros_sinbakery_sandwiches,q_cafes_local_algo_leche_sinbakery_sandwiches,q_cafes_local_algo_otros_sinbakery_sandwiches
Olivos,8,159.0000,14.0000,154.0000,38.0000
Lima,23,89.0000,124.0000,61.0000,105.0000
Quilmes,14,7.0000,10.0000,70.0000,45.0000
El Arco,13,6.0000,2.0000,35.0000,17.0000
Emilio Castro,17,15.0000,7.0000,24.0000,8.0000
Los Incas,7,46.0000,2.0000,null,null
Parque Sarmiento,19,5.0000,18.0000,19.0000,37.0000
AUBASA BA-LP,20,63.0000,100.0000,109.0000,121.0000
Zarate,8,61.0000,16.0000,32.0000,10.0000
Libertador,14,7.0000,25.0000,39.0000,57.0000
Gutierrez,23,null,3.0000,9.0000,7.0000
Gral Paz Capital,21,22.0000,22.0000,null,84.0000
Centenera,14,6.0000,3.0000,11.0000,19.0000
El Arco,16,8.0000,3.0000,15.0000,18.0000
Floresta,11,12.0000,9.0000,39.0000,19.0000
Zarate,15,22.0000,6.0000,17.0000,3.0000
Florencio Varela,19,10.0000,4.0000,40.0000,14.0000
Maipu,11,14.0000,7.0000,41.0000,31.0000
Pilar,11,64.0000,25.0000,86.0000,72.0000
Pilar,21,3.0000,14.0000,7.0000,17.0000
Buen Ayre,13,21.0000,23.0000,44.0000,87.0000
Fisherton,1,null,1.0000,null,9.0000
Del Tejar,17,33.0000,13.0000,89.0000,55.0000
Los Incas,23,2.0000,null,null,1.0000
Gral Paz Provincia,2,11.0000,19.0000,29.0000,33.0000
DISC Caraffa,17,null,2.0000,17.0000,5.0000
Fisherton,20,null,7.0000,null,76.0000
Alsina,16,12.0000,5.0000,45.0000,33.0000
Maschwitz,13,null,null,null,8.0000
Ovidio Lagos,6,1.0000,3.0000,9.0000,22.0000
Alberdi,0,null,null,null,1.0000
Bulnes,7,null,1.0000,14.0000,5.0000
Emilio Castro,12,7.0000,4.0000,31.0000,9.0000
Ovidio Lagos,9,6.0000,9.0000,6.0000,30.0000
Alberdi,14,null,null,null,null
La Bandera,15,8.0000,1.0000,22.0000,34.0000
Cabildo,2,5.0000,null,null,null
Amanecer,0,2.0000,2.0000,null,6.0000
DISC Caraffa,19,null,null,14.0000,5.0000
America,18,18.0000,26.0000,null,111.0000
Florencio Varela,9,58.0000,17.0000,124.0000,37.0000
DISC Caraffa,18,null,null,15.0000,5.0000
Florencio Varela,23,6.0000,6.0000,1.0000,14.0000
Emilio Castro,19,8.0000,7.0000,9.0000,10.0000
Laferrere,20,7.0000,7.0000,33.0000,9.0000
Gutierrez,1,null,1.0000,8.0000,8.0000
Maipu,4,3.0000,null,7.0000,10.0000
Disc Panamericana,9,null,6.0000,null,4.0000
DISC Caraffa,2,null,null,null,null
Santa Fe,7,4.0000,1.0000,6.0000,2.0000
Anchorena,12,null,null,null,null
DISC Caraffa,7,1.0000,2.0000,18.0000,8.0000
Los Incas,5,3.0000,null,null,null
Villa Allende,7,14.0000,5.0000,40.0000,10.0000
Alberdi,16,null,null,null,2.0000
Alberdi,20,null,null,null,null
DISC Echeverria,0,null,null,null,3.0000
Disc Panamericana,6,null,null,null,4.0000
Anchorena,11,null,null,null,null
Libertador,17,38.0000,57.0000,228.0000,138.0000
Florencio Varela,17,17.0000,2.0000,59.0000,52.0000
Fisherton,12,4.0000,12.0000,null,146.0000
Alvear,19,37.0000,33.0000,154.0000,94.0000
Zarate,21,7.0000,2.0000,3.0000,1.0000
AUBASA LP-BA,6,148.0000,92.0000,148.0000,54.0000
Santa Rita,13,7.0000,20.0000,7.0000,49.0000
Gutierrez,21,4.0000,2.0000,14.0000,4.0000
Maipu,14,5.0000,2.0000,29.0000,50.0000
Lima,10,105.0000,131.0000,102.0000,188.0000
Gral Paz Provincia,23,6.0000,15.0000,22.0000,30.0000
Olivos,15,10.0000,null,89.0000,54.0000
Alsina,4,3.0000,6.0000,1.0000,26.0000
Zarate,20,16.0000,6.0000,5.0000,8.0000
Arroyo Seco,3,20.0000,28.0000,12.0000,17.0000
Lima,3,17.0000,48.0000,20.0000,31.0000
Cabildo,18,4.0000,6.0000,3.0000,3.0000
Quilmes,16,20.0000,9.0000,64.0000,51.0000
Cabildo,0,1.0000,2.0000,1.0000,null
Zarate,6,35.0000,9.0000,40.0000,15.0000
San Isidro,15,6.0000,23.0000,45.0000,148.0000
Laferrere,3,3.0000,6.0000,21.0000,11.0000
Alsina,12,11.0000,10.0000,66.0000,81.0000
El Arco,17,6.0000,11.0000,35.0000,37.0000
Boulevard,17,26.0000,10.0000,55.0000,48.0000
Zarate Brazo Largo,20,35.0000,6.0000,4.0000,20.0000
La Carmela,15,4.0000,11.0000,13.0000,19.0000
Pilar,20,7.0000,11.0000,18.0000,24.0000
Libertador,21,10.0000,7.0000,30.0000,19.0000
Lima,20,119.0000,232.0000,104.0000,245.0000
AUBASA LP-BA,5,56.0000,26.0000,51.0000,15.0000
Gral Paz Provincia,22,17.0000,14.0000,29.0000,26.0000
Trelles,21,22.0000,4.0000,7.0000,12.0000
Laferrere,16,8.0000,5.0000,50.0000,23.0000
Cabildo,7,9.0000,5.0000,4.0000,4.0000
Zarate,0,5.0000,6.0000,1.0000,null
Libertador,19,15.0000,22.0000,109.0000,56.0000
Gral Paz Capital,0,20.0000,4.0000,null,67.0000
Pilar,23,7.0000,16.0000,11.0000,11.0000
Olivos,11,47.0000,2.0000,111.0000,26.0000
Maipu,20,2.0000,null,13.0000,26.0000
Disc Panamericana,18,1.0000,4.0000,null,2.0000
Arroyo Seco,14,182.0000,302.0000,195.0000,549.0000
San Isidro,14,11.0000,20.0000,24.0000,112.0000
La Carmela,19,8.0000,8.0000,15.0000,15.0000
