estacion,hora,dia_semana,q_cafes_llevar_algo,q_cafes_local_algo,q_cafes_llevar_algo_leche,q_cafes_llevar_algo_otros,q_cafes_local_algo_leche,q_cafes_local_algo_otros
Cabildo,11,5,35.0000,69.0000,19.0000,16.0000,9.0000,60.0000
El Arco,15,6,26.0000,110.0000,9.0000,17.0000,25.0000,85.0000
La Carmela,10,1,157.0000,121.0000,85.0000,72.0000,63.0000,58.0000
Floresta,10,1,35.0000,158.0000,11.0000,24.0000,63.0000,95.0000
Centenera,16,3,45.0000,125.0000,23.0000,22.0000,29.0000,96.0000
Santa Rita,18,3,36.0000,183.0000,21.0000,15.0000,61.0000,122.0000
Rosario Sur,21,3,3.0000,,1.0000,2.0000,,
Alberdi,21,4,5.0000,,4.0000,1.0000,,
Alvear,22,7,47.0000,237.0000,24.0000,23.0000,72.0000,165.0000
Centenera,10,2,105.0000,187.0000,66.0000,39.0000,63.0000,124.0000
Maipu,17,2,48.0000,205.0000,46.0000,2.0000,59.0000,146.0000
Luis Viale,6,4,71.0000,76.0000,38.0000,33.0000,48.0000,28.0000
Bonpland,23,4,15.0000,96.0000,5.0000,10.0000,24.0000,72.0000
Alsina,5,4,35.0000,58.0000,30.0000,5.0000,32.0000,26.0000
Olivos,11,6,52.0000,168.0000,29.0000,23.0000,63.0000,105.0000
Anchorena,9,6,,,,,,
Rosario Sur,1,1,13.0000,,1.0000,12.0000,,
Fisherton,23,5,13.0000,146.0000,4.0000,9.0000,17.0000,129.0000
Lima,1,7,233.0000,171.0000,62.0000,171.0000,61.0000,110.0000
Centenera,16,1,21.0000,44.0000,7.0000,14.0000,14.0000,30.0000
Cabildo,2,5,3.0000,6.0000,3.0000,,2.0000,4.0000
Lima,6,3,757.0000,679.0000,407.0000,350.0000,345.0000,334.0000
Lima,1,4,186.0000,162.0000,76.0000,110.0000,57.0000,105.0000
Luis Viale,1,3,29.0000,44.0000,11.0000,18.0000,11.0000,33.0000
El Arco,3,3,12.0000,19.0000,9.0000,3.0000,3.0000,16.0000
Villa Allende,2,4,,,,,,
La Carmela,22,4,7.0000,33.0000,6.0000,1.0000,7.0000,26.0000
Dialogos,7,5,159.0000,328.0000,128.0000,31.0000,162.0000,166.0000
Villa Luro,20,5,38.0000,119.0000,19.0000,19.0000,22.0000,97.0000
Parque Sarmiento,16,6,70.0000,185.0000,29.0000,41.0000,48.0000,137.0000
America,19,6,31.0000,219.0000,21.0000,10.0000,52.0000,167.0000
Arroyo Seco,11,1,894.0000,1320.0000,481.0000,413.0000,601.0000,719.0000
San Isidro,19,1,37.0000,110.0000,16.0000,21.0000,30.0000,80.0000
